Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1630639971.3326902,0,0,4.0,33.6
1630639984.8140116,0,0,4.0,36.4
1630639998.3865128,0,0,4.0,33.4
1630640012.027419,0,0,4.0,35.0
1630640025.5659242,0,0,3.0,34.0
1630640039.25935,0,0,4.0,34.4
1630640052.9579296,0,0,5.0,34.4
1630640067.2614932,0,0,5.0,28.4
1630640081.0219886,0,0,5.0,37.4
1630640095.0750697,0,0,5.0,28.6
1630640109.0417843,0,0,5.0,24.0
1630640122.8673606,0,0,5.0,38.6
1630640136.89648,0,0,4.0,34.4
1630640150.790791,0,0,4.0,35.6
1630640164.9344954,0,0,6.0,34.2
1630640179.6012297,0,0,6.0,30.0
1630640193.969967,0,0,5.0,32.6
1630640208.1724565,0,0,5.0,27.6
1630640222.444392,0,0,5.0,30.4
1630640236.9158616,0,0,5.0,29.2
1630640251.0095131,0,0,5.0,27.2
1630640265.2277606,0,0,5.0,27.4
1630640279.5832522,0,0,5.0,27.6
1630640294.737265,0,0,4.0,30.0
1630640309.2915537,0,0,4.0,29.6
1630640323.8504207,0,0,33.5,30.0
1630640338.3881712,0,0,7.0,29.6
1630640352.8655794,0,0,4.0,25.6
1630640367.5209591,0,0,3.0,31.2
1630640382.1371396,0,0,4.0,30.2
1630640397.3724506,0,0,4.0,29.2
1630640412.222306,0,0,4.0,27.8
1630640427.0723708,0,0,3.0,28.4
1630640441.755207,0,0,4.0,24.2
1630640456.7077541,0,0,5.0,22.6
1630640471.5992227,0,0,4.0,23.4
1630640486.5799057,0,0,4.0,28.6
1630640502.1365156,0,0,4.0,26.4
1630640517.2017605,0,0,4.0,26.8
1630640532.2566185,0,0,5.0,26.2
1630640547.2169738,0,0,5.0,26.8
1630640562.3226564,0,0,5.5,32.8
1630640577.3648505,0,0,5.0,25.0
1630640592.480633,0,0,5.0,25.6
1630640608.3450923,0,0,5.0,24.6
1630640623.683662,0,0,6.0,23.4
1630640639.1519465,0,0,5.5,30.8
1630640654.4623148,0,0,6.0,26.6
1630640669.8206954,0,0,6.0,28.4
